name,year,selling_price,km_driven,mileage (kmpl),engine (CC),seats,fuel_CNG,fuel_Diesel,fuel_LPG,fuel_Petrol,transmission_Automatic,transmission_Manual,owner_First Owner,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,max_power (bhp)
Maruti Ciaz Zeta,2018.0,850000.0,64000.0,20.65,1462.0,5.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,103.25
Honda Jazz VX Diesel,2015.0,525000.0,63000.0,27.3,1498.0,5.0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,98.6
Toyota Innova Crysta 2.8 ZX AT BSIV,2016.0,1650000.0,127700.0,11.36,2755.0,7.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,171.5
Toyota Innova 2.5 G (Diesel) 7 Seater,2016.0,950000.0,99000.0,12.99,2494.0,7.0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,100.6
Audi A6 2.0 TDI Technology,2013.0,1750000.0,33900.0,17.68,1968.0,5.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,174.33
Toyota Corolla Altis 1.8 VL CVT,2018.0,1590000.0,25000.0,14.28,1798.0,5.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,138.03
Audi A6 2.0 TDI  Design Edition,2013.0,1689999.0,50000.0,18.53,1968.0,5.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,187.74
Mercedes-Benz New C-Class 220 CDI AT,2013.0,1425000.0,59000.0,14.84,2143.0,5.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,170.0
Tata Manza ELAN Quadrajet BS IV,2011.0,265000.0,120000.0,21.12,1248.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,88.8
Hyundai i10 Magna,2011.0,190000.0,110000.0,20.36,1197.0,5.0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,78.9
Hyundai i20 Asta 1.4 CRDi,2013.0,425000.0,60000.0,21.27,1396.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,88.76
Maruti Swift Dzire ZDI,2015.0,630000.0,147000.0,26.59,1248.0,5.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,74.0
Ford Figo 1.2P Titanium MT,2017.0,600000.0,25000.0,18.16,1196.0,5.0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,86.8
Maruti Baleno Delta 1.2,2019.0,650000.0,30000.0,21.4,1197.0,5.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,83.1
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016.0,540000.0,40000.0,22.0,1498.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,108.495
Honda City i DTEC VX,2015.0,630000.0,135000.0,25.1,1498.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,98.6
Maruti Wagon R AMT VXI,2018.0,448000.0,30000.0,20.51,998.0,5.0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,67.0
Volkswagen Ameo 1.5 TDI Comfortline,2017.0,500000.0,80000.0,21.66,1498.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,108.62
Maruti Vitara Brezza VDi,2016.0,745000.0,70000.0,24.3,1248.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,88.5
Maruti Vitara Brezza ZDi Plus AMT,2019.0,1025000.0,9850.0,24.3,1248.0,5.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,88.5
Hyundai i10 Magna,2011.0,235000.0,60000.0,20.36,1197.0,5.0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,78.9
Maruti Swift VDI Deca,2016.0,630000.0,70000.0,25.2,1248.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,74.0
Toyota Fortuner 4x4 MT,2015.0,1700000.0,78000.0,12.55,2982.0,7.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,168.5
Maruti Swift Star VDI,2013.0,450000.0,120000.0,22.9,1248.0,5.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,74.0
Maruti Ertiga ZXI,2012.0,450000.0,120000.0,16.02,1373.0,7.0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,93.7
Volkswagen Vento Diesel Highline,2013.0,450000.0,170000.0,20.54,1598.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,103.6
Toyota Innova 2.5 VX (Diesel) 8 Seater,2016.0,1200000.0,140000.0,12.99,2494.0,8.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,100.6
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015.0,610000.0,90000.0,22.77,1498.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,98.59
BMW X1 sDrive20i xLine,2016.0,2500000.0,30000.0,15.71,1998.0,5.0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,189.0
Maruti Celerio ZXI MT BSIV,2017.0,484999.0,10000.0,23.1,998.0,5.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,67.04
Datsun GO A Petrol,2016.0,275000.0,49000.0,19.02,1198.0,5.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,67.05
Maruti Alto 800 VXI BSIV,2016.0,315000.0,32000.0,24.7,796.0,5.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,47.3
Maruti Alto 800 LXI BSIV,2016.0,275000.0,38000.0,24.7,796.0,5.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,47.3
Hyundai i10 Era 1.1,2012.0,290000.0,28000.0,19.81,1086.0,5.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,68.05
Maruti Omni 8 Seater BSIV,2017.0,280000.0,32000.0,14.0,796.0,5.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,35.0
Maruti Wagon R LXI LPG BSIV,2010.0,225000.0,44000.0,26.2,998.0,5.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,58.2
Volkswagen Polo 1.2 MPI Comfortline,2015.0,455000.0,42000.0,16.47,1198.0,5.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,74.0
Hyundai i10 Magna 1.1L,2015.0,351000.0,45000.0,19.81,1086.0,5.0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,68.05
Volkswagen Vento Petrol Highline,2012.0,535000.0,12000.0,15.04,1598.0,5.0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,103.6
Maruti Zen Estilo LXI BSIII,2009.0,175000.0,55500.0,18.2,998.0,5.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,67.1
Hyundai i20 Asta Optional with Sunroof 1.2,2013.0,525000.0,61500.0,18.5,1197.0,5.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,82.85
Maruti Swift Dzire LDI,2016.0,600000.0,150000.0,26.59,1248.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,74.0
Hyundai Xcent 1.2 Kappa SX Option AT,2016.0,565000.0,72000.0,19.1,1197.0,5.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,82.0
Maruti Alto LX BSIII,2008.0,120000.0,68000.0,19.7,796.0,5.0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,46.3
Hyundai i20 1.4 Asta Option,2017.0,725000.0,110000.0,22.54,1396.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,88.73
Maruti Wagon R VXI,2009.0,185000.0,77000.0,21.79,998.0,5.0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,67.05
Tata Manza Aura (ABS) Quadrajet,2010.0,200000.0,100000.0,18.8,1248.0,5.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,90.0
Maruti Swift VXI,2019.0,615000.0,10000.0,21.21,1197.0,5.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,81.8
Maruti Eeco 7 Seater Standard BSIV,2016.0,270000.0,100000.0,15.37,1196.0,7.0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,73.0
Maruti Baleno Zeta 1.2,2018.0,610000.0,35000.0,21.4,1197.0,5.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,83.1
Mahindra Scorpio VLX AT AIRBAG BSIV,2014.0,625000.0,70000.0,11.79,2179.0,8.0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,120.0
Ford Freestyle Titanium Petrol BSIV,2020.0,400000.0,5000.0,19.0,1194.0,5.0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,94.68
Hyundai Verna VTVT 1.6 SX,2017.0,866000.0,37800.0,17.0,1591.0,5.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,121.3
Volkswagen Passat 1.8 TSI MT,2010.0,700000.0,114000.0,14.3,1798.0,5.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,160.0
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010.0,300000.0,48000.0,15.8,1172.0,5.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,65.0
Mahindra XUV500 W11 Option AWD,2019.0,1700000.0,32000.0,15.1,2179.0,7.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,155.0
Tata Indigo CS LS (TDI) BS-III,2016.0,375000.0,100000.0,19.09,1405.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,69.01
Hyundai Verna 1.6 SX,2013.0,522000.0,150000.0,22.32,1582.0,5.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,126.32
Hyundai i20 Magna 1.4 CRDi (Diesel),2013.0,451999.0,69000.0,21.9,1396.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,88.76
Toyota Corolla Altis G,2009.0,300000.0,100000.0,14.53,1798.0,5.0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,138.1
Maruti Celerio VXI,2020.0,475000.0,13000.0,21.63,998.0,5.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,67.04
Maruti Vitara Brezza ZDi Plus Dual Tone,2016.0,780000.0,60000.0,24.3,1248.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,88.5
Maruti Swift Dzire VXI,2017.0,595000.0,40000.0,20.85,1197.0,5.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,83.14
Maruti Wagon R VXI BS IV,2017.0,440000.0,35000.0,20.51,998.0,5.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,67.04
Nissan Terrano XL 85 PS,2014.0,400000.0,70000.0,20.45,1461.0,5.0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,83.8
Hyundai Creta 1.6 CRDi SX,2016.0,1140000.0,50000.0,19.67,1582.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,126.2
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017.0,850000.0,76139.0,23.0,1498.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,98.96
Maruti Swift Dzire VDi,2012.0,370000.0,175000.0,19.3,1248.0,5.0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,73.9
Renault KWID 1.0,2018.0,350000.0,25000.0,23.01,999.0,5.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,67.0
Maruti Celerio VXI,2015.0,360000.0,40000.0,23.1,998.0,5.0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,67.04
Maruti Alto LXi,2008.0,105000.0,65000.0,19.7,796.0,5.0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,46.3
Maruti Ertiga VDI,2013.0,625000.0,90000.0,20.77,1248.0,7.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,88.76
Hyundai Santro Xing GLS,2009.0,135000.0,80000.0,17.92,1086.0,5.0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,62.1
Maruti Ertiga VDI,2015.0,700000.0,110000.0,20.77,1248.0,7.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,88.76
Honda Amaze S i-VTEC,2019.0,690000.0,1303.0,17.8,1198.0,5.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,86.7
Audi Q5 35TDI Premium Plus,2018.0,3975000.0,31800.0,17.01,1968.0,5.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,188.0
Lexus ES 300h,2019.0,5150000.0,20000.0,22.37,2487.0,5.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,214.56
Jaguar XF 2.0 Diesel Portfolio,2017.0,3200000.0,45000.0,19.33,1999.0,5.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,177.0
Jeep Wrangler 2016-2019 3.6 4X4,2017.0,4100000.0,17000.0,9.5,3604.0,5.0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,280.0
Land Rover Discovery Sport TD4 SE,2019.0,4500000.0,21000.0,12.83,1999.0,7.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,148.31
Mercedes-Benz S-Class S 350 CDI,2017.0,6000000.0,37000.0,13.5,2987.0,5.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,254.79
BMW 5 Series 520d Sport Line,2018.0,3790000.0,29500.0,22.48,1995.0,5.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,187.74
BMW X1 sDrive 20D xLine,2017.0,2150000.0,27000.0,,,,0,1,0,0,1,0,1,0,0,0,0,1,0,0,
BMW X4 M Sport X xDrive20d,2019.0,5800000.0,7500.0,16.78,1995.0,5.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,190.0
Skoda Superb LK 1.8 TSI AT,2018.0,1864999.0,50000.0,14.67,1798.0,5.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,177.46
Mercedes-Benz E-Class E250 Edition E,2016.0,2700000.0,35000.0,15.0,2143.0,5.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,204.0
Honda City i-VTEC CVT VX,2017.0,795000.0,41000.0,18.0,1497.0,5.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,117.6
Toyota Corolla Altis 1.8 G CVT,2013.0,625000.0,39000.0,14.28,1798.0,5.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,138.03
Volvo XC40 D4 R-Design,2018.0,3400000.0,22000.0,18.0,1969.0,5.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,190.0
Audi Q7 35 TDI Quattro Premium,2015.0,2650000.0,53000.0,12.07,2967.0,7.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,241.4
Maruti Ciaz ZDi,2015.0,535000.0,40000.0,26.21,1248.0,5.0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,88.5
Mercedes-Benz S-Class S 350 CDI,2017.0,5850000.0,47000.0,13.5,2987.0,5.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,282.0
BMW 5 Series 523i,2010.0,975000.0,72200.0,10.8,2497.0,5.0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,150.0
Hyundai Elantra S,2016.0,805000.0,49900.0,16.3,1797.0,5.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,147.5
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017.0,2625000.0,9000.0,13.6,1999.0,5.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,177.0
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018.0,811000.0,11000.0,17.0,1198.0,5.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,108.5
Volkswagen Vento Petrol Highline,2011.0,375000.0,49000.0,15.04,1598.0,5.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,103.6
Hyundai Elantra SX,2012.0,550000.0,95000.0,16.3,1797.0,5.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,147.5
Skoda Rapid 1.6 MPI AT Elegance,2016.0,645000.0,11000.0,14.3,1598.0,5.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,103.5
Mercedes-Benz CLA 200 CGI Sport,2018.0,2550000.0,18000.0,15.04,1991.0,5.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,183.0
Maruti Ertiga ZXI,2014.0,599000.0,46100.0,16.02,1373.0,7.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,93.7
Mercedes-Benz New C-Class C 200 AVANTGARDE,2017.0,2700000.0,16000.0,14.74,1991.0,5.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,181.04
Honda City V AT,2017.0,875000.0,18000.0,15.6,1497.0,5.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,116.3
Toyota Glanza V CVT,2019.0,894999.0,9654.0,19.56,1197.0,5.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,81.8
Maruti Alto K10 VXI,2011.0,175000.0,11000.0,23.95,998.0,5.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,67.05
Maruti Swift VXI,2012.0,340000.0,24300.0,21.21,1197.0,5.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,81.8
Toyota Innova Crysta 2.8 ZX AT BSIV,2016.0,1525000.0,42163.0,11.36,2755.0,7.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,171.5
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018.0,1025000.0,8000.0,21.5,1497.0,5.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,108.5
BMW 3 Series 320d Luxury Line,2016.0,2150000.0,30000.0,22.69,1995.0,5.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,190.0
Toyota Camry 2.5 Hybrid,2016.0,1900000.0,41000.0,19.16,2494.0,5.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,157.7
BMW 5 Series 520d Luxury Line,2016.0,2900000.0,12000.0,18.12,1995.0,5.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,190.0
Toyota Camry W4 (AT),2009.0,450000.0,71000.0,12.1,2362.0,5.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,164.7
Maruti Ertiga BSIV ZXI Plus,2016.0,850000.0,20000.0,17.5,1373.0,7.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,91.1
Volvo XC90 T8 Excellence BSIV,2017.0,10000000.0,30000.0,42.0,1969.0,4.0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,400.0
Volkswagen Vento Diesel Highline,2011.0,300000.0,100000.0,20.54,1598.0,5.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,103.6
Ford Figo Aspire 1.2 Ti-VCT Trend,2018.0,575000.0,9500.0,18.16,1196.0,5.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,86.8
Ford Figo Diesel LXI,2011.0,160000.0,120000.0,20.0,1399.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,68.0
Maruti Swift VXI Optional,2015.0,515000.0,36600.0,20.4,1197.0,5.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,81.8
Maruti Wagon R AMT VXI,2015.0,390000.0,50000.0,20.51,998.0,5.0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,67.0
Hyundai i20 Magna 1.2,2016.0,550000.0,14000.0,18.6,1197.0,5.0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,81.83
Maruti 800 Std,1999.0,40000.0,40000.0,16.1,796.0,4.0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,37.0
Maruti Ritz VDi,2010.0,220000.0,120000.0,21.1,1248.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,73.9
Hyundai Grand i10 Magna,2015.0,425000.0,70000.0,18.9,1197.0,5.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,82.0
Volkswagen Ameo 1.0 MPI Trendline,2019.0,480000.0,13000.0,19.44,999.0,5.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,75.0
Hyundai Grand i10 Sportz,2014.0,400000.0,60000.0,18.9,1197.0,5.0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,82.0
Maruti Swift Dzire VXI,2014.0,487000.0,35000.0,19.1,1197.0,5.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,85.8
Hyundai Xcent 1.2 Kappa S,2016.0,386000.0,44000.0,19.1,1197.0,5.0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,82.0
Honda City 1.5 EXI,2005.0,100000.0,120000.0,13.0,1493.0,5.0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,100.0
Toyota Corolla Altis Diesel D4DG,2010.0,300000.0,60000.0,21.43,1364.0,5.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,87.2
Daewoo Matiz SD,2000.0,100000.0,60000.0,18.5,796.0,5.0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,53.0
Toyota Fortuner 4x2 Manual,2014.0,1750000.0,30000.0,13.0,2982.0,7.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,168.5
